"size","time","it","mean","variance","median"
1000,0.0597820281982422,6,7.889,3024.28095995996,2
10000,0.0894560813903809,6,9.0892,9466.70371373137,1
1e+05,0.560872554779053,6,11.86619,626765.729662181,1
1e+06,2.99336695671082,6,12.685922,606187.353056365,1
1e+07,37.0331254005432,6,16.3122518,11314693.7695994,2
100,0.039973258972168,7,11.08,3057.34707070707,1
1000,0.0611560344696045,7,9.03,6654.98608608609,1
10000,0.101613283157349,7,10.0297,42196.7448923992,2
1e+05,0.364070892333984,7,11.4277,131221.561908329,1
1e+06,3.03948163986206,7,14.115504,1503939.8789747,1
1e+07,39.4164137840271,7,19.3041944999999,71550734.2070541,2
100,0.0453779697418213,8,56.23,259382.825353535,2
1000,0.0579292774200439,8,5.724,883.036860860861,1
10000,0.098513126373291,8,10.3436,17695.1664556856,2
1e+05,0.315122842788696,8,10.46818,86861.8350858385,1
1e+06,3.17765927314758,8,12.926589,357331.9742978,2
1e+07,41.7271928787231,8,18.5293988999999,47764923.3841668,1
100,0.0426373481750488,9,3.11,21.8160606060606,1
1000,0.0628166198730469,9,11.045,10155.4864614615,1
10000,0.0884115695953369,9,8.2489,3832.86643543354,2
1e+05,0.551706552505493,9,10.86666,199994.089221337,1
1e+06,3.09176588058472,9,15.222703,2873112.99195536,1
1e+07,37.5665926933289,9,17.7379306,36745865.8924033,1
100,0.0424556732177734,10,4.42,215.43797979798,1
1000,0.0768001079559326,10,6.156,477.034698698699,2
10000,0.0903284549713135,10,9.6492,10822.7968190419,2
1e+05,0.308747529983521,10,9.65953,68157.0218003971,2
1e+06,7.46125197410583,10,15.59615,5347917.55061479,1
1e+07,38.6645007133484,10,16.1697877,12979921.717521,1
100,0.043532133102417,1,4.99,159.888787878788,2
1000,0.0551867485046387,1,8.984,4479.00875275275,1
10000,0.103806734085083,1,9.7892,30194.6418275428,1
